partition	test	trace	lean_reason
onchain	t157_m5_stray_terminal_mint_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_n10_delete_terminal_refuses	edge-from-terminal	terminal-immutable
onchain	t157_n10_insert_terminal_refuses	insert-terminal	Model.transition-none
onchain	t157_n10_update_terminal_to_absent_refuses	edge-from-terminal	terminal-immutable
onchain	t157_n10_update_terminal_to_active_refuses	edge-from-terminal	terminal-immutable
onchain	t157_n10_update_terminal_to_empty_refuses	leaf-codec	Model.decodeState-none
onchain	t157_n10_update_terminal_to_noncodec_refuses	leaf-codec	Model.decodeState-none
onchain	t157_n10_update_terminal_to_terminal_refuses	edge-from-terminal	terminal-immutable
onchain	t157_p3_token_named_other_than_the_key_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_t1_active_token_at_another_address_refuses	destination	Model.requestDestination-binding
onchain	t157_t1_active_token_in_two_outputs_refuses	destination	Model.requestDestination-binding
onchain	t157_t1_active_token_with_another_datum_refuses	destination	Model.requestDestination-binding
onchain	t157_t2_terminal_token_elsewhere_refuses	destination	Model.requestDestination-binding
onchain	t157_t3_absent_token_in_a_wallet_refuses	absent-custody	Model.I-W2-custody-census
onchain	t157_t3_custody_carrying_an_extra_asset_refuses	absent-custody	Model.I-W2-custody-census
onchain	t157_t3_custody_naming_another_key_refuses	absent-custody	Model.I-W2-custody-census
onchain	t157_t3_custody_with_another_refund_refuses	absent-custody	Model.I-W2-custody-census
onchain	t157_t4_custody_left_unspent_refuses	refund	custody-missing
onchain	t157_t4_refund_below_the_held_lovelace_refuses	refund	custody-missing
onchain	t157_t4_refund_to_the_booker_instead_refuses	refund	custody-missing
onchain	t157_t5_fold_for_another_key_refuses	custody-spend	Model.custody-spend-path
onchain	t157_t5_fold_whose_request_is_a_read_refuses	custody-spend	Model.custody-spend-path
onchain	t157_t5_plain_custody_spend_refuses	custody-spend	Model.custody-spend-path
onchain	t157_t6_folder_keeping_the_residual_refuses	deposit-returned	Model.R-ADA-deposit-returned
onchain	t157_t6_underfunded_destination_refuses	deposit-returned	Model.R-ADA-deposit-returned
onchain	t157_v1_request_below_its_tip_refuses	tip-coverage	Model.request-value-coverage
onchain	t157_v2_read_retracted_by_a_stranger_refuses	retract-owner	Model.withdraw-owner
onchain	t157_v2_update_retract_refuses	withdraw-insert-only	withdraw-insert-only
naming-onchain	t157_n1_insert_active_without_signature_refuses	controller-signature	controller-signature
naming-onchain	t157_n2_update_active_without_signature_refuses	controller-signature	controller-signature
naming-onchain	t157_n4_delete_absent_by_another_address_refuses	custody-refund-signature	naming-uncertified
naming-onchain	t157_n4_delete_absent_unsigned_refuses	custody-refund-signature	naming-uncertified
naming-onchain	t157_n4_delete_absent_without_custody_reference_refuses	custody-refund-signature	naming-uncertified
naming-onchain	t157_n5_delete_active_is_never_certified_refuses	never-certified	naming-no-delete
naming-onchain	t157_n6_retire_below_the_quorum_refuses	retire-needs-recovery-key	naming-retirement-uncertified
naming-onchain	t157_n6_retire_with_a_wrong_reveal_refuses	retire-needs-recovery-key	naming-retirement-uncertified
naming-onchain	t157_n6_retire_with_the_control_key_alone_refuses	retire-needs-recovery-key	naming-retirement-uncertified
naming-onchain	t157_n6_terminate_approval_without_a_retire_refuses	retire-required	naming-retirement-uncertified
naming-onchain	t157_n7_record_with_a_second_asset_refuses	record-single-asset	naming-record-unavailable
naming-onchain	t157_n8_completion_burning_another_token_refuses	completion-burn	token-missing
naming-onchain	t157_n8_wrong_request_validator_refuses	retirement-request-validator-mismatch	retirement-request-validator-mismatch
naming-onchain	t157_n8_wrong_registry_token_refuses	retirement-request-token-mismatch	retirement-request-token-mismatch
naming-onchain	t157_n8_missing_bound_approval_refuses	retirement-approval-missing	retirement-approval-missing
naming-onchain	t157_n8_mismatched_bound_approval_refuses	retirement-approval-mismatch	retirement-approval-mismatch
naming-onchain	t157_n9_maintain_spending_the_registry_refuses	no-registry-spend	naming-context
naming-onchain	t157_p1_absent_mint_outside_a_fold_refuses	no-fold	Model.I-W1-mint-witness
naming-onchain	t157_p1_active_mint_outside_a_fold_refuses	no-fold	Model.I-W1-mint-witness
naming-onchain	t157_p1_terminal_mint_outside_a_fold_refuses	no-fold	Model.I-W1-mint-witness
naming-onchain	t157_p2_absent_burn_without_a_fold_refuses	no-fold	Model.I-W1-mint-witness
naming-onchain	t157_p2_active_burn_without_a_fold_refuses	no-fold	Model.I-W1-mint-witness
onchain	t157_t5_request_without_authenticated_state_modify_refuses	custody-spend	Model.custody-spend-path
naming-onchain	t157_n6_foreign_script_retire_spoof_refuses	retire-required	naming-retirement-uncertified
naming-onchain	t157_n6_retire_without_approval_mint_refuses	retirement-approval-missing	naming-retirement-uncertified
naming-onchain	t157_n6_retire_without_completion_request_refuses	retirement-request-missing	naming-retirement-uncertified
onchain	t157_t5_foreign_registry_modify_does_not_authorize_custody_refuses	custody-spend	Model.custody-spend-path
